scheme,kind,depth,run,verify_time_ms,peak_mem_bytes,proof_size_bytes,host
plonky2,recursive,16,67,4.560592,3358720,127208,arm
plonky2,recursive,16,68,4.563952,3358720,127208,arm
plonky2,recursive,16,69,4.561136,3358720,127208,arm
plonky2,recursive,16,70,4.570152,3358720,127208,arm
plonky2,recursive,16,71,4.561831,3358720,127208,arm
plonky2,recursive,16,72,4.563735,3358720,127208,arm
plonky2,recursive,16,73,4.5821760000000005,3358720,127208,arm
plonky2,recursive,16,74,4.562912,3358720,127208,arm
plonky2,recursive,16,75,4.571574999999999,3358720,127208,arm
plonky2,recursive,16,76,4.56404,3358720,127208,arm
plonky2,recursive,16,77,4.569232,3358720,127208,arm
plonky2,recursive,16,78,4.5610800000000005,3358720,127208,arm
plonky2,recursive,16,79,4.561936,3358720,127208,arm
plonky2,recursive,16,80,4.565448,3358720,127208,arm
plonky2,recursive,16,81,4.566888,3358720,127208,arm
plonky2,recursive,16,82,4.56412,3358720,127208,arm
plonky2,recursive,16,83,4.561144,3358720,127208,arm
plonky2,recursive,16,84,4.564623999999999,3358720,127208,arm
plonky2,recursive,16,85,4.569704,3358720,127208,arm
plonky2,recursive,16,86,4.560872,3358720,127208,arm
plonky2,recursive,16,87,4.5660240000000005,3358720,127208,arm
plonky2,recursive,16,88,4.564608000000001,3358720,127208,arm
plonky2,recursive,16,89,4.563079999999999,3358720,127208,arm
plonky2,recursive,16,90,4.5628079999999995,3358720,127208,arm
plonky2,recursive,16,91,4.570768,3358720,127208,arm
plonky2,recursive,16,92,4.570152,3358720,127208,arm
plonky2,recursive,16,93,4.562616,3358720,127208,arm
plonky2,recursive,16,94,4.56548,3358720,127208,arm
plonky2,recursive,16,95,4.560848,3358720,127208,arm
plonky2,recursive,16,96,4.56444,3358720,127208,arm
plonky2,recursive,16,97,4.56004,3358720,127208,arm
plonky2,recursive,16,98,4.565864,3358720,127208,arm
plonky2,recursive,16,99,4.568024,3358720,127208,arm
plonky2,recursive,16,100,4.561215000000001,3358720,127208,arm
plonky2,recursive,16,101,4.5840000000000005,3358720,127208,arm
plonky2,recursive,16,102,4.571512,3358720,127208,arm
plonky2,recursive,16,103,4.572728,3358720,127208,arm
plonky2,recursive,16,104,4.565320000000001,3358720,127208,arm
plonky2,recursive,16,105,4.563808,3358720,127208,arm
plonky2,recursive,16,106,4.567992,3358720,127208,arm
plonky2,recursive,16,107,4.565512,3358720,127208,arm
plonky2,recursive,16,108,4.563287,3358720,127208,arm
plonky2,recursive,16,109,4.561632,3358720,127208,arm
plonky2,recursive,16,110,4.563584,3358720,127208,arm
plonky2,recursive,16,111,4.562712,3358720,127208,arm
plonky2,recursive,16,112,4.563671,3358720,127208,arm
plonky2,recursive,16,113,4.5667040000000005,3358720,127208,arm
plonky2,recursive,16,114,4.564935,3358720,127208,arm
plonky2,recursive,16,115,4.5625029999999995,3358720,127208,arm
plonky2,recursive,16,116,4.566071,3358720,127208,arm
plonky2,recursive,16,117,4.562479000000001,3358720,127208,arm
plonky2,recursive,16,118,4.564519000000001,3358720,127208,arm
plonky2,recursive,16,119,4.5607429999999995,3358720,127208,arm
plonky2,recursive,16,120,4.5638950000000005,3358720,127208,arm
plonky2,recursive,16,121,4.5603750000000005,3358720,127208,arm
plonky2,recursive,16,122,4.561878999999999,3358720,127208,arm
plonky2,recursive,16,123,4.566072,3358720,127208,arm
plonky2,recursive,16,124,4.562576,3358720,127208,arm
plonky2,recursive,16,125,4.568728,3358720,127208,arm
plonky2,recursive,16,126,4.56084,3358720,127208,arm
plonky2,recursive,16,127,4.564384,3358720,127208,arm
plonky2,recursive,16,128,4.560288,3358720,127208,arm
plonky2,recursive,16,129,4.564896,3358720,127208,arm
plonky2,recursive,16,130,4.567264,3358720,127208,arm
plonky2,recursive,16,131,4.5688070000000005,3358720,127208,arm
plonky2,recursive,16,132,4.564703,3358720,127208,arm
plonky2,recursive,16,133,4.559711,3358720,127208,arm
plonky2,recursive,16,134,4.565024,3358720,127208,arm
plonky2,recursive,16,135,4.56176,3358720,127208,arm
plonky2,recursive,16,136,4.565448,3358720,127208,arm
plonky2,recursive,16,137,4.565184,3358720,127208,arm
plonky2,recursive,16,138,4.562408,3358720,127208,arm
plonky2,recursive,16,139,4.562544,3358720,127208,arm
plonky2,recursive,16,140,4.561768,3358720,127208,arm
plonky2,recursive,16,141,4.560104,3358720,127208,arm
plonky2,recursive,16,142,4.563368,3358720,127208,arm
plonky2,recursive,16,143,4.588977,3358720,127208,arm
plonky2,recursive,16,144,4.565928,3358720,127208,arm
plonky2,recursive,16,145,4.563616000000001,3358720,127208,arm
plonky2,recursive,16,146,4.5656799999999995,3358720,127208,arm
plonky2,recursive,16,147,4.563223,3358720,127208,arm
plonky2,recursive,16,148,4.573136,3358720,127208,arm
plonky2,recursive,16,149,4.566952,3358720,127208,arm
plonky2,recursive,16,150,4.567774999999999,3358720,127208,arm
plonky2,recursive,16,151,4.569312,3358720,127208,arm
plonky2,recursive,16,152,4.567344,3358720,127208,arm
plonky2,recursive,16,153,4.565696,3358720,127208,arm
plonky2,recursive,16,154,4.561136,3358720,127208,arm
